Index,Time,accl0,accl1,accl2,rot0,rot1,rot2,x,y,z,w
11883,11.883236,0.145007312,-0.694277465,0.976968408,7.01202583,0.354045987,-2.55253601,-0.111009151,-0.0123834312,-0.766383588,0.568885386
11884,11.884507,0.124501228,-0.688418567,0.979165554,6.99207592,0.343140006,-2.51263595,-0.106728874,-0.0178257301,-0.767735422,0.567713559
11885,11.885268,0.124501228,-0.688418567,0.979165554,6.99207592,0.343140006,-2.51263595,-0.106728874,-0.0178257301,-0.767735422,0.567713559
11886,11.886542,0.0922773853,-0.678897858,0.976968408,6.97185993,0.341544002,-2.47247005,-0.102458611,-0.0232514199,-0.769020498,0.566541255
11887,11.887302,0.0922773853,-0.678897858,0.976968408,6.97185993,0.341544002,-2.47247005,-0.102458611,-0.0232514199,-0.769020498,0.566541255
11888,11.888573,0.0747007355,-0.661321223,0.986489177,6.93355608,0.345001996,-2.43815613,-0.0981993526,-0.0286438204,-0.770245314,0.565361261
11889,11.889335,0.0747007355,-0.661321223,0.986489177,6.93355608,0.345001996,-2.43815613,-0.0981993526,-0.0286438204,-0.770245314,0.565361261
11890,11.890605,0.0454063304,-0.656927109,0.985756814,6.87290812,0.343672007,-2.37511396,-0.0939673707,-0.0339876078,-0.771398544,0.564189374
11891,11.891452,0.0454063304,-0.656927109,0.985756814,6.87290812,0.343672007,-2.34425807,-0.0918645933,-0.0366352685,-0.771947324,0.563608289
11892,11.892213,0.0270973258,-0.647406399,0.990150928,6.83992386,0.346332014,-2.34425807,-0.0918645933,-0.0366352685,-0.771947324,0.563608289
11893,11.893791,0.000732360175,-0.638618052,0.999671578,6.78805399,0.354045987,-2.2862699,-0.0876741409,-0.0418939516,-0.77299273,0.562454104
11894,11.894743,-0.00512652099,-0.63788569,1.00260103,6.75879383,0.356173992,-2.24903011,-0.0855881721,-0.0445025638,-0.77348721,0.561884522
11895,11.895595,-0.0058588814,-0.639350414,1.00479817,6.7266078,0.355376005,-2.21471596,-0.0835069045,-0.0471023247,-0.773963988,0.561318576
11896,11.896459,-0.0058588814,-0.639350414,1.00479817,6.7266078,0.355376005,-2.17587996,-0.0814445987,-0.0496764295,-0.774419069,0.560761571
11897,11.89722,-0.0131824836,-0.639350414,1.02237475,6.6925602,0.353248,-2.17587996,-0.0814445987,-0.0496764295,-0.774419069,0.560761571
11898,11.89849,-0.0249002445,-0.623970866,1.03848672,6.61967611,0.347927988,-2.09262204,-0.077345036,-0.054788813,-0.775270283,0.559668422
11899,11.89925,-0.0314914882,-0.623970866,1.03848672,6.61967611,0.347927988,-2.09262204,-0.077345036,-0.054788813,-0.775270283,0.559668422
11900,11.900521,-0.0366180092,-0.621041417,1.05533099,6.54572821,0.343937993,-2.00324607,-0.0732924044,-0.0598377362,-0.776038408,0.55861181
11901,11.901282,-0.0366180092,-0.621041417,1.05533099,6.54572821,0.343937993,-2.00324607,-0.0732924044,-0.0598377362,-0.776038408,0.55861181
11902,11.902553,-0.0534622893,-0.599802971,1.08023119,6.48321819,0.341809988,-1.91386998,-0.069279246,-0.064825207,-0.776725531,0.557592511
11903,11.903313,-0.0534622893,-0.599802971,1.08023119,6.48321819,0.341809988,-1.91386998,-0.069279246,-0.064825207,-0.776725531,0.557592511
11904,11.904584,-0.0717713013,-0.589549899,1.11611688,6.43507195,0.32585001,-1.80321407,-0.0653095171,-0.0697707161,-0.77732116,0.556625247
11905,11.90561,-0.0717713013,-0.589549899,1.12783468,6.41325998,0.322658002,-1.75267398,-0.0633381307,-0.0722285286,-0.77758503,0.556161702
11906,11.906572,-0.0710389391,-0.585888088,1.1468761,6.40208817,0.31308201,-1.69920802,-0.0613748282,-0.0746821389,-0.777825534,0.555712163
11907,11.907628,-0.0681094974,-0.589549899,1.16738212,6.39809799,0.299250007,-1.644678,-0.0594194047,-0.0771355182,-0.778042138,0.555277109
11908,11.908685,-0.0747007355,-0.59321171,1.17324102,6.40421581,0.285950005,-1.58402991,-0.0574691668,-0.0795923173,-0.778232813,0.554859281
11909,11.909535,-0.0849537775,-0.601267695,1.17983222,6.40953588,0.274511993,-1.53056407,-0.0555234253,-0.0820519179,-0.778399646,0.554455936
11910,11.910295,-0.0849537775,-0.601267695,1.17983222,6.40953588,0.274511993,-1.53056407,-0.0555234253,-0.0820519179,-0.778399646,0.554455936
11911,11.911566,-0.102530427,-0.594676495,1.19740891,6.41831398,0.235410005,-1.41937602,-0.0516554564,-0.0869851559,-0.77865988,0.55369395
11912,11.912327,-0.102530427,-0.594676495,1.19740891,6.41831398,0.235410005,-1.41937602,-0.0516554564,-0.0869851559,-0.77865988,0.55369395
11913,11.913597,-0.0996009782,-0.58662051,1.21059144,6.44225407,0.196840003,-1.29807997,-0.0478168204,-0.0919449329,-0.778816462,0.552998722
11914,11.914458,-0.0996009782,-0.58662051,1.21059144,6.44225407,0.196840003,-1.24301803,-0.0459059067,-0.0944411233,-0.778856635,0.552674294
11915,11.915219,-0.101065703,-0.585888088,1.21571791,6.46247005,0.172634006,-1.24301803,-0.0459059067,-0.0944411233,-0.778856635,0.552674294
11916,11.916494,-0.101065703,-0.59321171,1.23256218,6.52152205,0.108794004,-1.13156402,-0.0421039276,-0.0994858742,-0.778859377,0.552069664
11917,11.917255,-0.114980541,-0.59321171,1.23256218,6.52152205,0.108794004,-1.13156402,-0.0421039276,-0.0994858742,-0.778859377,0.552069664
11918,11.918801,-0.127430677,-0.574902713,1.23842108,6.59892797,0.053199999,-1.02782404,-0.0383168571,-0.104609929,-0.778758764,0.55152142
